product id,name,slot,paint,certification,certification value,certification label,quality,crate,tradeable,amount,instanceid,specialedition,blueprint item id, blueprint item, blueprint cost
23,Octane,Body,none,none,0,none,Common,,false,1,0,none,0,,0
30,Merc,Body,none,none,0,none,Common,,false,1,0,none,0,,0
63,Standard,Rocket Boost,none,none,0,none,Common,,false,1,0,none,0,,0
124,Algeria,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
125,Argentina,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
126,Australia,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
127,Austria,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
128,Belgium,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
129,Bosnia and Herzegovina,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
130,Brazil,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
131,Bulgaria,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
132,Cameroon,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
133,Canada,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
134,Cape Verde Islands,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
135,Chile,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
136,China,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
137,Colombia,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
138,Congo,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
139,Costa Rica,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
140,Croatia,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
141,Cyprus,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
142,Czech Republic,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
143,Denmark,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
144,Ecuador,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
145,El Salvador,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
146,England,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
147,Equatorial Guinea,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
148,Finland,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
149,France,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
150,Germany,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
151,Ghana,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
152,Greece,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
153,Guatemala,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
154,Guinea,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
155,Honduras,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
156,Hong Kong,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
157,Hungary,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
158,Iceland,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
159,India,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
160,Indonesia,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
161,Iran,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
162,Ireland,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
163,Israel,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
164,Italy,Antenna,none,none,0,none,Common,,false,1,0,none,0,,0
